y,Company,CocoaPercent,CompanyLocation,BeanType,BeanOrigin
3.75,54.0,74.0,9.0,12.0,9.0
3.5,251.0,70.0,30.0,6.0,28.0
3.0,350.0,70.0,56.0,12.0,27.0
2.5,88.0,70.0,7.0,6.0,40.0
4.0,14.0,70.0,29.0,11.0,37.0
3.5,53.0,65.0,18.0,11.0,28.0
3.75,174.0,67.0,56.0,12.0,29.0
3.5,168.0,70.0,7.0,11.0,63.0
2.75,30.0,83.0,19.0,11.0,2.0
3.5,326.0,70.0,56.0,3.0,63.0
2.75,299.0,80.0,56.0,12.0,41.0
2.5,312.0,70.0,41.0,6.0,63.0
3.0,103.0,72.0,19.0,6.0,40.0
2.5,91.0,75.0,56.0,11.0,40.0
3.5,179.0,80.0,55.0,11.0,68.0
2.5,253.0,65.0,9.0,12.0,9.0
3.25,266.0,70.0,31.0,6.0,41.0
4.0,302.0,80.0,18.0,6.0,19.0
3.0,281.0,72.0,56.0,12.0,18.0
2.75,255.0,70.0,56.0,12.0,32.0
2.75,401.0,70.0,56.0,12.0,57.0
3.25,148.0,70.0,56.0,12.0,18.0
3.75,276.0,70.0,8.0,6.0,46.0
4.0,155.0,69.0,56.0,11.0,45.0
3.5,111.0,70.0,56.0,12.0,45.0
3.0,70.0,70.0,56.0,12.0,3.0
4.0,0.0,70.0,18.0,11.0,67.0
2.5,313.0,75.0,14.0,8.0,19.0
2.75,400.0,57.0,56.0,8.0,62.0
3.5,294.0,70.0,56.0,11.0,67.0
2.75,267.0,75.0,4.0,8.0,51.0
3.5,58.0,70.0,30.0,11.0,68.0
4.0,294.0,70.0,56.0,11.0,37.0
3.5,242.0,70.0,56.0,12.0,18.0
2.75,220.0,72.0,56.0,12.0,40.0
3.5,246.0,70.0,0.0,11.0,53.0
3.25,343.0,70.0,7.0,12.0,63.0
3.0,184.0,77.0,56.0,12.0,30.0
3.25,100.0,70.0,1.0,12.0,67.0
3.5,101.0,76.0,56.0,12.0,19.0
3.0,99.0,75.0,56.0,11.0,37.0
3.5,301.0,70.0,56.0,12.0,4.0
2.75,7.0,75.0,18.0,11.0,68.0
3.0,203.0,60.0,18.0,12.0,63.0
3.5,230.0,85.0,41.0,12.0,9.0
3.0,157.0,76.0,56.0,8.0,46.0
2.0,282.0,76.0,7.0,12.0,7.0
3.5,153.0,65.0,4.0,11.0,37.0
3.75,398.0,78.0,2.0,12.0,52.0
4.0,297.0,70.0,4.0,3.0,67.0
3.5,177.0,70.0,28.0,12.0,46.0
4.0,343.0,70.0,7.0,11.0,34.0
3.25,233.0,75.0,7.0,12.0,63.0
2.75,381.0,80.0,32.0,11.0,37.0
2.5,300.0,76.0,56.0,12.0,18.0
3.5,238.0,70.0,56.0,11.0,2.0
3.25,364.0,70.0,56.0,12.0,19.0
2.75,177.0,70.0,28.0,12.0,18.0
2.5,236.0,89.0,56.0,12.0,18.0
3.5,35.0,65.0,56.0,12.0,18.0
2.75,288.0,85.0,14.0,12.0,19.0
3.75,18.0,70.0,56.0,12.0,57.0
3.5,307.0,85.0,56.0,12.0,18.0
3.75,111.0,70.0,56.0,12.0,63.0
2.0,247.0,60.0,18.0,12.0,63.0
3.25,313.0,75.0,14.0,12.0,19.0
2.75,32.0,55.0,18.0,12.0,63.0
4.0,155.0,74.0,56.0,11.0,37.0
2.5,263.0,71.0,31.0,11.0,25.0
2.75,63.0,60.0,4.0,11.0,25.0
3.75,337.0,70.0,2.0,6.0,67.0
3.0,357.0,70.0,24.0,12.0,67.0
2.75,324.0,75.0,9.0,8.0,9.0
2.25,185.0,72.0,56.0,12.0,46.0
3.0,386.0,77.0,56.0,6.0,67.0
3.75,203.0,60.0,18.0,12.0,63.0
3.0,135.0,68.0,19.0,6.0,67.0
3.5,23.0,70.0,56.0,12.0,4.0
3.75,181.0,72.0,54.0,12.0,67.0
3.5,65.0,55.0,14.0,8.0,19.0
3.0,9.0,60.0,56.0,12.0,3.0
3.0,125.0,70.0,29.0,12.0,9.0
3.0,365.0,70.0,53.0,12.0,46.0
3.5,154.0,70.0,56.0,8.0,46.0
3.0,96.0,61.0,56.0,6.0,67.0
3.75,123.0,70.0,56.0,12.0,29.0
3.5,69.0,72.0,56.0,6.0,9.0
3.5,303.0,74.0,55.0,6.0,37.0
2.75,359.0,70.0,56.0,12.0,12.0
2.5,50.0,75.0,29.0,12.0,13.0
3.25,337.0,70.0,2.0,12.0,27.0
3.5,337.0,70.0,2.0,11.0,37.0
2.25,52.0,75.0,56.0,12.0,67.0
3.0,15.0,75.0,56.0,12.0,18.0
3.75,0.0,70.0,18.0,6.0,67.0
3.5,399.0,70.0,3.0,6.0,46.0
3.5,86.0,68.0,0.0,8.0,10.0
3.5,328.0,73.0,56.0,8.0,45.0
3.5,57.0,70.0,50.0,6.0,10.0
3.25,305.0,75.0,6.0,12.0,4.0
3.75,230.0,70.0,41.0,6.0,67.0
3.75,379.0,65.0,18.0,11.0,67.0
2.75,250.0,67.0,56.0,12.0,19.0
3.0,147.0,74.0,54.0,11.0,18.0
4.0,343.0,67.0,7.0,12.0,46.0
3.5,40.0,75.0,18.0,8.0,46.0
3.25,364.0,77.0,56.0,12.0,19.0
3.0,270.0,75.0,56.0,8.0,23.0
3.5,54.0,70.0,9.0,12.0,9.0
2.5,105.0,70.0,2.0,8.0,45.0
3.0,127.0,72.0,55.0,12.0,44.0
3.25,382.0,70.0,56.0,12.0,3.0
2.75,79.0,70.0,49.0,11.0,68.0
2.75,69.0,70.0,56.0,11.0,18.0
3.5,212.0,68.0,56.0,6.0,3.0
3.0,147.0,65.0,54.0,6.0,67.0
3.75,343.0,70.0,7.0,6.0,67.0
3.25,396.0,70.0,56.0,12.0,16.0
2.75,256.0,70.0,38.0,12.0,41.0
3.25,311.0,75.0,18.0,6.0,46.0
3.0,297.0,75.0,4.0,6.0,67.0
3.0,193.0,85.0,14.0,12.0,19.0
3.25,40.0,75.0,18.0,11.0,34.0
3.0,245.0,70.0,53.0,12.0,4.0
3.5,39.0,82.0,56.0,11.0,37.0
3.0,350.0,70.0,56.0,11.0,41.0
3.0,337.0,67.0,2.0,8.0,46.0
2.5,299.0,62.0,56.0,12.0,41.0
3.5,111.0,70.0,56.0,11.0,2.0
2.75,155.0,74.0,56.0,11.0,37.0
2.5,126.0,70.0,55.0,11.0,67.0
3.75,301.0,82.0,56.0,9.0,12.0
3.0,92.0,70.0,7.0,6.0,67.0
3.0,387.0,70.0,56.0,12.0,16.0
4.0,343.0,75.0,7.0,12.0,67.0
3.25,342.0,70.0,56.0,12.0,46.0
3.25,111.0,70.0,56.0,12.0,67.0
3.25,44.0,80.0,56.0,12.0,18.0
2.0,154.0,81.0,56.0,12.0,46.0
3.0,313.0,75.0,14.0,8.0,19.0
3.0,372.0,72.0,56.0,12.0,18.0
3.5,265.0,70.0,56.0,8.0,23.0
3.5,343.0,70.0,7.0,3.0,36.0
3.0,238.0,75.0,56.0,12.0,46.0
3.25,230.0,70.0,41.0,12.0,19.0
3.75,125.0,70.0,29.0,6.0,67.0
2.5,366.0,75.0,56.0,12.0,33.0
3.25,56.0,65.0,56.0,12.0,18.0
3.5,10.0,70.0,56.0,11.0,37.0
3.0,297.0,72.0,4.0,8.0,4.0
3.5,212.0,68.0,56.0,6.0,3.0
3.5,121.0,74.0,56.0,12.0,18.0
4.0,14.0,75.0,29.0,3.0,63.0
2.75,137.0,70.0,57.0,6.0,67.0
3.0,146.0,76.0,42.0,12.0,34.0
4.0,181.0,72.0,54.0,6.0,67.0
3.25,205.0,60.0,14.0,12.0,19.0
2.25,295.0,73.0,55.0,11.0,37.0
3.5,314.0,75.0,56.0,11.0,60.0
2.75,7.0,65.0,18.0,11.0,60.0
2.75,220.0,70.0,56.0,12.0,12.0
2.75,386.0,77.0,56.0,11.0,37.0
3.0,45.0,70.0,56.0,11.0,34.0
3.25,337.0,65.0,2.0,11.0,37.0
3.0,193.0,85.0,14.0,12.0,19.0
3.25,314.0,75.0,56.0,10.0,19.0
3.75,39.0,70.0,56.0,11.0,37.0
3.0,392.0,74.0,56.0,6.0,67.0
2.75,143.0,62.0,56.0,12.0,63.0
3.5,156.0,70.0,12.0,12.0,41.0
2.75,0.0,70.0,18.0,12.0,59.0
3.25,167.0,65.0,56.0,11.0,34.0
3.0,221.0,70.0,29.0,8.0,19.0
2.75,327.0,70.0,55.0,12.0,25.0
3.25,172.0,85.0,56.0,12.0,4.0
2.75,193.0,85.0,14.0,12.0,19.0
3.75,215.0,75.0,56.0,12.0,29.0
3.5,343.0,70.0,7.0,6.0,67.0
3.25,155.0,70.0,56.0,11.0,34.0
3.5,18.0,73.0,56.0,11.0,68.0
3.25,360.0,60.0,30.0,11.0,68.0
3.25,113.0,70.0,56.0,12.0,19.0
3.5,302.0,75.0,18.0,6.0,57.0
3.0,176.0,72.0,14.0,8.0,19.0
3.5,156.0,70.0,12.0,6.0,41.0
3.75,267.0,67.0,4.0,11.0,60.0
3.5,155.0,70.0,56.0,11.0,34.0
3.25,155.0,72.0,56.0,12.0,18.0
3.75,151.0,67.0,47.0,11.0,57.0
3.0,155.0,69.0,56.0,11.0,45.0
3.0,338.0,68.0,56.0,11.0,37.0
3.0,200.0,72.0,56.0,6.0,46.0
3.5,156.0,70.0,12.0,6.0,41.0
3.75,19.0,72.0,55.0,11.0,34.0
3.0,326.0,62.0,56.0,12.0,63.0
3.0,157.0,70.0,56.0,12.0,12.0
2.75,254.0,67.0,56.0,11.0,2.0
2.5,91.0,65.0,56.0,11.0,40.0
3.0,141.0,80.0,18.0,11.0,68.0
3.0,58.0,70.0,30.0,11.0,37.0
3.5,399.0,72.0,3.0,12.0,44.0
2.0,267.0,73.0,4.0,8.0,69.0
3.25,18.0,70.0,56.0,12.0,19.0
3.5,153.0,70.0,4.0,12.0,12.0
3.5,40.0,75.0,18.0,12.0,4.0
3.25,35.0,75.0,56.0,12.0,32.0
2.75,84.0,80.0,56.0,12.0,41.0
2.5,176.0,80.0,14.0,8.0,19.0
3.5,234.0,70.0,58.0,11.0,68.0
3.5,314.0,85.0,56.0,12.0,19.0
3.5,40.0,75.0,18.0,12.0,46.0
2.75,363.0,70.0,56.0,12.0,3.0
2.75,17.0,75.0,18.0,12.0,19.0
1.5,124.0,70.0,4.0,12.0,63.0
3.5,147.0,58.0,54.0,11.0,25.0
2.75,149.0,72.0,55.0,6.0,46.0
3.25,131.0,75.0,56.0,12.0,30.0
2.5,82.0,65.0,55.0,6.0,46.0
2.75,223.0,75.0,32.0,11.0,37.0
2.5,120.0,72.0,7.0,12.0,57.0
3.0,113.0,70.0,56.0,12.0,57.0
3.5,206.0,75.0,18.0,8.0,51.0
3.5,69.0,76.0,56.0,6.0,9.0
3.75,87.0,69.0,46.0,8.0,46.0
3.75,144.0,80.0,56.0,12.0,18.0
3.5,115.0,72.0,6.0,12.0,4.0
3.5,379.0,68.0,18.0,8.0,23.0
3.25,231.0,75.0,56.0,11.0,68.0
3.25,399.0,90.0,3.0,12.0,3.0
3.0,10.0,70.0,56.0,12.0,67.0
3.5,103.0,70.0,19.0,11.0,37.0
3.25,3.0,80.0,16.0,11.0,21.0
3.75,18.0,70.0,56.0,12.0,41.0
2.5,319.0,71.0,24.0,12.0,67.0
3.25,357.0,70.0,24.0,12.0,19.0
3.0,399.0,65.0,3.0,8.0,10.0
3.75,43.0,68.0,56.0,12.0,18.0
3.75,121.0,70.0,56.0,12.0,3.0
2.5,21.0,70.0,2.0,3.0,63.0
2.5,243.0,80.0,32.0,11.0,37.0
3.0,238.0,76.0,56.0,11.0,67.0
3.0,303.0,75.0,55.0,8.0,19.0
3.25,341.0,75.0,36.0,12.0,52.0
2.75,238.0,71.0,56.0,12.0,45.0
3.0,103.0,72.0,19.0,11.0,60.0
2.75,289.0,70.0,7.0,12.0,27.0
3.5,379.0,64.0,18.0,11.0,37.0
2.5,358.0,70.0,56.0,12.0,46.0
2.75,358.0,60.0,56.0,12.0,63.0
4.0,343.0,64.0,7.0,12.0,46.0
4.0,379.0,70.0,18.0,6.0,53.0
3.0,326.0,72.0,56.0,3.0,65.0
3.25,353.0,78.0,56.0,11.0,2.0
2.5,40.0,75.0,18.0,8.0,19.0
3.0,200.0,75.0,56.0,11.0,67.0
2.5,178.0,72.0,48.0,12.0,19.0
3.25,26.0,72.0,55.0,12.0,38.0
2.75,355.0,70.0,57.0,12.0,67.0
3.25,346.0,75.0,56.0,12.0,18.0
3.75,285.0,66.0,54.0,12.0,3.0
3.25,105.0,64.0,2.0,11.0,64.0
2.5,275.0,70.0,56.0,11.0,34.0
3.75,212.0,68.0,56.0,12.0,46.0
3.0,167.0,65.0,56.0,11.0,9.0
2.75,256.0,70.0,38.0,12.0,41.0
3.5,400.0,74.0,56.0,6.0,67.0
3.75,10.0,70.0,56.0,6.0,67.0
2.0,65.0,77.0,14.0,8.0,19.0
2.0,385.0,100.0,56.0,8.0,19.0
2.75,40.0,75.0,18.0,6.0,46.0
3.25,43.0,70.0,56.0,12.0,19.0
3.5,121.0,78.0,56.0,11.0,68.0
3.0,118.0,64.0,56.0,12.0,46.0
3.25,343.0,70.0,7.0,6.0,32.0
3.5,335.0,73.0,7.0,12.0,57.0
2.75,170.0,55.0,14.0,11.0,19.0
3.0,377.0,72.0,56.0,11.0,37.0
3.5,189.0,70.0,56.0,11.0,37.0
3.5,234.0,78.0,58.0,11.0,68.0
2.75,300.0,82.0,56.0,6.0,46.0
3.0,278.0,70.0,36.0,12.0,45.0
3.5,142.0,81.0,56.0,6.0,67.0
2.75,390.0,75.0,27.0,6.0,46.0
3.5,364.0,70.0,56.0,12.0,16.0
2.75,295.0,64.0,55.0,11.0,37.0
3.75,383.0,90.0,56.0,12.0,8.0
3.25,302.0,75.0,18.0,8.0,23.0
3.0,287.0,72.0,39.0,12.0,46.0
3.0,14.0,70.0,29.0,11.0,34.0
3.0,381.0,68.0,32.0,11.0,37.0
2.0,196.0,72.0,34.0,12.0,40.0
3.25,161.0,77.0,56.0,12.0,41.0
3.75,297.0,72.0,4.0,8.0,19.0
3.75,181.0,72.0,54.0,6.0,67.0
3.25,343.0,70.0,7.0,3.0,37.0
3.5,383.0,75.0,56.0,12.0,19.0
3.75,343.0,70.0,7.0,6.0,67.0
3.25,112.0,82.0,22.0,12.0,27.0
3.25,69.0,72.0,56.0,11.0,41.0
3.5,314.0,70.0,56.0,3.0,63.0
2.75,102.0,78.0,56.0,11.0,68.0
3.5,25.0,65.0,56.0,12.0,16.0
3.75,137.0,70.0,57.0,12.0,67.0
3.25,47.0,70.0,44.0,12.0,19.0
3.5,46.0,70.0,2.0,12.0,18.0
3.0,288.0,72.0,14.0,8.0,19.0
3.5,245.0,72.0,53.0,11.0,37.0
3.5,43.0,75.0,56.0,8.0,23.0
3.25,240.0,82.0,56.0,6.0,46.0
3.5,320.0,72.0,29.0,12.0,63.0
3.0,393.0,70.0,56.0,8.0,46.0
3.0,180.0,70.0,7.0,6.0,3.0
2.5,169.0,77.0,19.0,8.0,19.0
3.0,139.0,79.0,30.0,12.0,67.0
3.25,357.0,88.0,24.0,11.0,13.0
2.75,19.0,72.0,55.0,11.0,32.0
3.25,378.0,65.0,29.0,11.0,67.0
2.75,28.0,64.0,4.0,12.0,12.0
3.5,201.0,64.0,56.0,11.0,37.0
2.75,27.0,90.0,56.0,12.0,19.0
3.5,156.0,70.0,12.0,12.0,41.0
3.0,215.0,72.0,56.0,12.0,29.0
3.5,193.0,70.0,14.0,12.0,19.0
3.5,19.0,72.0,55.0,12.0,32.0
3.5,172.0,77.0,56.0,12.0,4.0
3.5,167.0,65.0,56.0,12.0,67.0
3.75,156.0,70.0,12.0,12.0,41.0
3.0,92.0,80.0,7.0,12.0,4.0
3.75,1.0,50.0,6.0,8.0,4.0
2.75,100.0,88.0,1.0,8.0,19.0
3.5,219.0,67.0,32.0,11.0,37.0
3.75,263.0,78.0,31.0,8.0,46.0
3.5,50.0,70.0,29.0,3.0,63.0
3.0,65.0,55.0,14.0,8.0,19.0
4.0,247.0,65.0,18.0,11.0,37.0
3.75,56.0,66.0,56.0,12.0,18.0
3.5,234.0,76.0,58.0,11.0,68.0
4.0,1.0,60.0,6.0,8.0,4.0
3.5,352.0,70.0,56.0,12.0,19.0
3.25,244.0,70.0,23.0,12.0,41.0
3.25,113.0,70.0,56.0,12.0,67.0
3.5,399.0,65.0,3.0,8.0,31.0
3.5,152.0,70.0,57.0,12.0,67.0
2.5,199.0,72.5,56.0,8.0,62.0
3.25,87.0,72.0,46.0,6.0,37.0
3.25,343.0,70.0,7.0,12.0,28.0
4.0,40.0,75.0,18.0,6.0,37.0
3.25,61.0,70.0,39.0,12.0,46.0
3.5,46.0,72.0,2.0,12.0,19.0
3.75,157.0,74.0,56.0,2.0,3.0
3.75,326.0,65.0,56.0,11.0,37.0
2.5,238.0,72.0,56.0,11.0,63.0
3.5,219.0,75.0,32.0,11.0,37.0
2.5,157.0,70.0,56.0,12.0,46.0
3.5,167.0,65.0,56.0,8.0,19.0
3.25,215.0,65.0,56.0,12.0,29.0
3.25,64.0,70.0,56.0,11.0,4.0
3.0,11.0,85.0,50.0,8.0,23.0
3.25,132.0,70.0,7.0,12.0,46.0
3.0,334.0,67.0,29.0,6.0,2.0
3.0,116.0,70.0,48.0,12.0,37.0
3.75,18.0,70.0,56.0,8.0,19.0
3.5,238.0,72.0,56.0,12.0,63.0
2.75,376.0,74.0,56.0,12.0,41.0
3.75,35.0,70.0,56.0,3.0,17.0
3.25,305.0,65.0,6.0,12.0,4.0
3.0,9.0,60.0,56.0,12.0,46.0
3.0,306.0,74.0,34.0,11.0,40.0
2.75,186.0,70.0,56.0,12.0,18.0
2.75,238.0,81.0,56.0,6.0,67.0
3.75,318.0,75.0,56.0,10.0,19.0
3.0,226.0,70.0,53.0,12.0,67.0
3.75,357.0,70.0,24.0,11.0,13.0
3.0,148.0,80.0,56.0,12.0,18.0
3.0,285.0,75.0,54.0,6.0,46.0
3.25,18.0,73.0,56.0,12.0,68.0
4.0,130.0,70.0,56.0,12.0,19.0
3.25,220.0,70.0,56.0,6.0,29.0
3.0,67.0,72.0,10.0,8.0,12.0
4.0,40.0,75.0,18.0,6.0,67.0
3.0,4.0,70.0,14.0,8.0,19.0
3.0,394.0,66.0,13.0,12.0,18.0
3.75,273.0,70.0,56.0,12.0,18.0
3.0,64.0,70.0,56.0,6.0,67.0
3.5,260.0,70.0,56.0,12.0,41.0
3.0,363.0,70.0,56.0,12.0,45.0
3.25,105.0,75.0,2.0,8.0,57.0
2.5,387.0,70.0,56.0,12.0,67.0
3.5,231.0,70.0,56.0,11.0,19.0
3.0,50.0,80.0,29.0,12.0,67.0
3.0,13.0,64.0,7.0,11.0,2.0
3.25,318.0,75.0,56.0,12.0,3.0
2.25,50.0,78.0,29.0,8.0,51.0
3.0,19.0,80.0,55.0,6.0,37.0
3.5,313.0,67.0,14.0,8.0,19.0
2.75,18.0,75.0,56.0,12.0,4.0
3.25,191.0,55.0,13.0,12.0,18.0
4.0,379.0,64.0,18.0,6.0,67.0
3.0,266.0,70.0,31.0,12.0,67.0
3.25,254.0,73.0,56.0,11.0,2.0
3.0,179.0,72.0,55.0,12.0,55.0
3.5,112.0,60.0,22.0,12.0,27.0
3.5,343.0,70.0,7.0,11.0,27.0
2.75,397.0,70.0,3.0,10.0,19.0
3.5,339.0,70.0,56.0,12.0,19.0
3.0,43.0,72.0,56.0,11.0,18.0
3.0,374.0,60.0,56.0,6.0,46.0
2.75,206.0,75.0,18.0,11.0,68.0
1.5,248.0,65.0,56.0,12.0,63.0
3.25,391.0,72.0,55.0,11.0,67.0
2.75,134.0,72.0,56.0,8.0,46.0
2.75,167.0,72.0,56.0,12.0,63.0
3.25,248.0,80.0,56.0,11.0,2.0
2.5,62.0,82.0,14.0,8.0,19.0
3.25,103.0,72.0,19.0,11.0,25.0
3.0,50.0,72.0,29.0,12.0,18.0
2.75,301.0,70.0,56.0,12.0,46.0
